Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
2021-02-15,ID-KI,Kalimantan Timur,362,7,483,-128,49537,1177,40306,8054,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3.0,103,197.0,841.0,129067,3552191,27.52,116.4684405,0.45385803,101.91,13945.48,1.97,331.34,33.13,2.38%,81.37%,1.1,0.44
2022-05-23,ID-KT,Kalimantan Tengah,0,0,6,-6,56043,1539,54491,13,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1.0,136,139.0,1432.0,153565,2570289,16.74,113.4176536,-1.602484653,0.0,21804.16,0.0,598.77,59.88,2.75%,97.23%,1.0,1.0
2021-11-26,ID-SB,Sumatera Barat,6,0,7,-1,89842,2152,87581,109,Province,,Sumatera Barat,Indonesia,Asia,Sumatera,UTC+07:00,,12,7.0,179,230.0,928.0,42013,5519245,131.37,100.4650624,-0.850253225,1.09,16277.95,0.0,389.91,38.99,2.40%,97.48%,3.0,1.0
2021-01-10,IDN,Indonesia,9640,182,7513,1945,828026,24129,681024,122873,Country,,,Indonesia,Asia,,,,416,98.0,7230,8488.0,74953.0,1916907,265185520,138.34,113.921327,-0.789275,36.35,3122.44,0.69,90.99,9.1,2.91%,82.25%,0.96,0.94
2020-12-07,ID-KB,Kalimantan Barat,30,1,0,29,2581,24,2264,293,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2.0,174,99.0,2031.0,147307,5422814,36.81,111.1211776,-0.086474572,5.53,475.95,0.18,4.43,0.44,0.93%,87.72%,,
2022-06-18,ID-AC,Aceh,0,0,0,0,43704,2217,41487,0,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,0.0,8328.92,0.0,422.51,42.25,5.07%,94.93%,1.0,1.0
2020-08-12,ID-KU,Kalimantan Utara,4,0,0,4,303,2,279,22,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1.0,53,35.0,447.0,75468,648407,8.59,116.2188791,2.891012621,6.17,467.3,0.0,3.08,0.31,0.66%,92.08%,1.33,1.0
2022-01-25,ID-JK,DKI Jakarta,2190,14,456,1720,883493,13630,857795,12068,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,201.92,81456.87,1.29,1256.67,125.67,1.54%,97.09%,1.1,
2021-12-18,ID-SG,Sulawesi Tenggara,0,0,0,0,20167,527,19604,36,Province,,Sulawesi Tenggara,Indonesia,Asia,Sulawesi,UTC+08:00,,15,2.0,219,377.0,1911.0,38068,2635461,69.23,122.070311,-4.124688793,0.0,7652.17,0.0,199.97,20.0,2.61%,97.21%,0.0,1.0
2020-04-12,ID-PB,Papua Barat,0,0,0,0,2,1,1,0,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,1.75,0.0,0.88,0.09,50.00%,50.00%,1.0,1.0
2020-07-13,ID-AC,Aceh,0,1,0,-1,106,5,64,37,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5.0,289,,6497.0,57956,5247257,90.54,96.91052174,4.225614628,0.0,20.2,0.19,0.95,0.1,4.72%,60.38%,0.0,
2022-05-28,ID-JK,DKI Jakarta,104,0,92,12,1250414,15288,1234213,913,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5.0,44,267.0,,664,10846145,16334.31,106.8361183,-6.204698991,9.59,115286.49,0.0,1409.53,140.95,1.22%,98.70%,0.95,1.0
2020-10-30,ID-SN,Sulawesi Selatan,43,1,99,-57,18291,462,16342,1487,Province,,Sulawesi Selatan,Indonesia,Asia,Sulawesi,UTC+08:00,,21,3.0,311,792.0,2255.0,46717,9426885,201.78,120.1620559,-3.731080714,4.56,1940.3,0.11,49.01,4.9,2.53%,89.34%,1.3,0.1
2022-06-07,ID-BE,Bengkulu,0,0,0,0,29114,520,28593,1,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1.0,129,172.0,1341.0,19919,1999539,100.38,102.3384213,-3.533583627,0.0,14560.36,0.0,260.06,26.01,1.79%,98.21%,1.0,1.0
2021-01-03,ID-RI,Riau,81,5,156,-80,25262,596,23504,1162,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2.0,169,268.0,1591.0,87024,6074100,69.8,101.8051092,0.511647851,13.34,4158.97,0.82,98.12,9.81,2.36%,93.04%,1.19,0.83
